Name,P1,P2,P6,P13,P14,P15,P16,P7,P8,P9,P10
DP 59,-193.13437500000003,45.69941184885511,-10.0,13.0,14.0,14.0,15.0,,,,
DP 60,-193.13437500000003,45.69941184885511,-10.0,15.0,16.0,16.0,17.0,,,,
DP 61,-193.13437500000003,45.69941184885511,-10.0,17.0,18.0,18.0,19.0,,,,
DP 62,-193.13437500000003,45.69941184885511,-10.0,19.0,20.0,20.0,21.0,,,,
DP 63,-193.13437500000003,45.69941184885511,-50.0,7.0,8.0,8.0,9.0,,,,
DP 64,-193.13437500000003,45.69941184885511,-50.0,9.0,10.0,10.0,11.0,,,,
DP 65,-193.13437500000003,45.69941184885511,-50.0,11.0,12.0,12.0,13.0,,,,
DP 66,-193.13437500000003,45.69941184885511,-50.0,13.0,14.0,14.0,15.0,,,,
DP 67,-193.13437500000003,45.69941184885511,-50.0,15.0,16.0,16.0,17.0,,,,
DP 68,-193.13437500000003,45.69941184885511,-50.0,17.0,18.0,18.0,19.0,,,,
DP 69,-193.13437500000003,45.69941184885511,-50.0,19.0,20.0,20.0,21.0,,,,
DP 70,-374.00625,88.49727373905273,110.0,7.0,8.0,8.0,9.0,,,,
DP 71,-374.00625,88.49727373905273,110.0,9.0,10.0,10.0,11.0,,,,
DP 72,-374.00625,88.49727373905273,110.0,11.0,12.0,12.0,13.0,,,,
DP 73,-374.00625,88.49727373905273,110.0,13.0,14.0,14.0,15.0,,,,
DP 74,-374.00625,88.49727373905273,110.0,15.0,16.0,16.0,17.0,,,,
DP 75,-374.00625,88.49727373905273,110.0,17.0,18.0,18.0,19.0,,,,
DP 76,-374.00625,88.49727373905273,110.0,19.0,20.0,20.0,21.0,,,,
DP 77,-374.00625,88.49727373905273,70.0,7.0,8.0,8.0,9.0,,,,
DP 78,-374.00625,88.49727373905273,70.0,9.0,10.0,10.0,11.0,,,,
DP 79,-374.00625,88.49727373905273,70.0,11.0,12.0,12.0,13.0,,,,
DP 80,-374.00625,88.49727373905273,70.0,13.0,14.0,14.0,15.0,,,,
DP 81,-374.00625,88.49727373905273,70.0,15.0,16.0,16.0,17.0,,,,
DP 82,-374.00625,88.49727373905273,70.0,17.0,18.0,18.0,19.0,,,,
DP 83,-374.00625,88.49727373905273,70.0,19.0,20.0,20.0,21.0,,,,
DP 84,-374.00625,88.49727373905273,30.0,7.0,8.0,8.0,9.0,,,,
DP 85,-374.00625,88.49727373905273,30.0,9.0,10.0,10.0,11.0,,,,
DP 86,-374.00625,88.49727373905273,30.0,11.0,12.0,12.0,13.0,,,,
DP 87,-374.00625,88.49727373905273,30.0,13.0,14.0,14.0,15.0,,,,
DP 88,-374.00625,88.49727373905273,30.0,15.0,16.0,16.0,17.0,,,,
DP 89,-374.00625,88.49727373905273,30.0,17.0,18.0,18.0,19.0,,,,
DP 90,-374.00625,88.49727373905273,30.0,19.0,20.0,20.0,21.0,,,,
DP 91,-374.00625,88.49727373905273,-10.0,7.0,8.0,8.0,9.0,,,,
DP 92,-374.00625,88.49727373905273,-10.0,9.0,10.0,10.0,11.0,,,,
DP 93,-374.00625,88.49727373905273,-10.0,11.0,12.0,12.0,13.0,,,,
DP 94,-374.00625,88.49727373905273,-10.0,13.0,14.0,14.0,15.0,,,,
DP 95,-374.00625,88.49727373905273,-10.0,15.0,16.0,16.0,17.0,,,,
DP 96,-374.00625,88.49727373905273,-10.0,17.0,18.0,18.0,19.0,,,,
DP 97,-374.00625,88.49727373905273,-10.0,19.0,20.0,20.0,21.0,,,,
DP 98,-374.00625,88.49727373905273,-50.0,7.0,8.0,8.0,9.0,,,,
DP 99,-374.00625,88.49727373905273,-50.0,9.0,10.0,10.0,11.0,,,,
DP 100,-374.00625,88.49727373905273,-50.0,11.0,12.0,12.0,13.0,,,,
DP 101,-374.00625,88.49727373905273,-50.0,13.0,14.0,14.0,15.0,,,,
DP 102,-374.00625,88.49727373905273,-50.0,15.0,16.0,16.0,17.0,,,,
DP 103,-374.00625,88.49727373905273,-50.0,17.0,18.0,18.0,19.0,,,,
DP 104,-374.00625,88.49727373905273,-50.0,19.0,20.0,20.0,21.0,,,,
DP 105,-554.8781250000001,131.29513562925038,110.0,7.0,8.0,8.0,9.0,,,,
DP 106,-554.8781250000001,131.29513562925038,110.0,9.0,10.0,10.0,11.0,,,,
DP 107,-554.8781250000001,131.29513562925038,110.0,11.0,12.0,12.0,13.0,,,,
DP 108,-554.8781250000001,131.29513562925038,110.0,13.0,14.0,14.0,15.0,,,,
DP 109,-554.8781250000001,131.29513562925038,110.0,15.0,16.0,16.0,17.0,,,,
DP 110,-554.8781250000001,131.29513562925038,110.0,17.0,18.0,18.0,19.0,,,,
DP 111,-554.8781250000001,131.29513562925038,110.0,19.0,20.0,20.0,21.0,,,,
