S (m)	X Coordinate (m)	Y Coordinate (m)	Z Coordinate (m)	Shear Stress (Pa)
0.14438	5.5852e-002	-1.1346e-002	0.	-1.9907e+005
0.14589	5.4343e-002	-1.1314e-002	0.	-2.1924e+005
0.1474	5.2834e-002	-1.1278e-002	0.	-2.3929e+005
0.14891	5.1325e-002	-1.1238e-002	0.	-2.5914e+005
0.15042	4.9816e-002	-1.1196e-002	0.	-2.7894e+005
0.15193	4.8308e-002	-1.1147e-002	0.	-2.9852e+005
0.15344	4.6799e-002	-1.1095e-002	0.	-3.1802e+005
0.15495	4.5291e-002	-1.1039e-002	0.	-3.3765e+005
0.15646	4.3783e-002	-1.0976e-002	0.	-3.5709e+005
0.15797	4.2275e-002	-1.0908e-002	0.	-3.7587e+005
0.15947	4.0767e-002	-1.0836e-002	0.	-3.9493e+005
0.16098	3.926e-002	-1.0755e-002	0.	-4.1377e+005
0.16249	3.7753e-002	-1.0666e-002	0.	-4.3262e+005
0.164	3.6247e-002	-1.057e-002	0.	-4.5146e+005
0.16551	3.4741e-002	-1.0466e-002	0.	-4.7025e+005
0.16702	3.3237e-002	-1.035e-002	0.	-4.8883e+005
0.16853	3.1732e-002	-1.0229e-002	0.	-5.0783e+005
0.17004	3.0228e-002	-1.0101e-002	0.	-5.2753e+005
0.17155	2.8725e-002	-9.9668e-003	0.	-5.4358e+005
0.17306	2.7222e-002	-9.8275e-003	0.	-5.5841e+005
0.17457	2.5719e-002	-9.6837e-003	0.	-5.7662e+005
0.17608	2.4219e-002	-9.5198e-003	0.	-5.9348e+005
0.17759	2.2721e-002	-9.339e-003	0.	-6.0867e+005
0.1791	2.1224e-002	-9.1409e-003	0.	-6.288e+005
0.18061	1.9734e-002	-8.9056e-003	0.	-6.4324e+005
0.18211	1.8245e-002	-8.6538e-003	0.	-6.595e+005
0.18362	1.6761e-002	-8.3803e-003	0.	-6.7373e+005
0.18513	1.5282e-002	-8.0812e-003	0.	-6.8902e+005
0.18664	1.3805e-002	-7.77e-003	0.	-7.0912e+005
0.18815	1.2332e-002	-7.442e-003	0.	-7.2769e+005
0.18966	1.0864e-002	-7.0911e-003	0.	-7.4678e+005
0.19117	9.4012e-003	-6.7184e-003	0.	-7.6231e+005
0.19268	7.954e-003	-6.2898e-003	0.	-7.6268e+005
0.19419	6.5395e-003	-5.7674e-003	0.	-7.5803e+005
0.1957	5.149e-003	-5.1818e-003	0.	-7.8491e+005
0.19721	3.825e-003	-4.4571e-003	0.	-7.7352e+005
0.19871	2.5825e-003	-3.6046e-003	0.	-6.8721e+005
0.20022	1.4144e-003	-2.6527e-003	0.	-6.4925e+005
0.20172	5.0099e-004	-1.4572e-003	0.	-4.1171e+005
0.20322	1.3012e-005	-4.2856e-005	0.	-91787
0.20472	1.7702e-004	1.4469e-003	0.	2.6473e+005
0.20622	8.3308e-004	2.7956e-003	0.	4.5122e+005
0.20773	1.7656e-003	3.9825e-003	0.	5.6471e+005
0.20923	2.8287e-003	5.0483e-003	0.	6.3782e+005
0.21074	3.9863e-003	6.0142e-003	0.	6.9049e+005
0.21225	5.2114e-003	6.8962e-003	0.	7.3924e+005
0.21376	6.515e-003	7.6571e-003	0.	7.7366e+005
0.21527	7.86e-003	8.341e-003	0.	7.906e+005
0.21678	9.2286e-003	8.9771e-003	0.	7.9504e+005
0.21829	1.061e-002	9.5841e-003	0.	7.9312e+005
0.2198	1.2e-002	1.0173e-002	0.	7.9022e+005
