S (m)	X Coordinate (m)	Y Coordinate (m)	Z Coordinate (m)	Shear Stress (Pa)
0.67245	0.24348	-5.4837e-003	0.	-1.0117e+005
0.67395	0.24199	-5.5547e-003	0.	-1.1292e+005
0.67544	0.24049	-5.6258e-003	0.	-1.2475e+005
0.67694	0.239	-5.6968e-003	0.	-1.3669e+005
0.67843	0.23751	-5.7679e-003	0.	-1.4871e+005
0.67993	0.23601	-5.839e-003	0.	-1.6082e+005
0.68142	0.23452	-5.9102e-003	0.	-1.7302e+005
0.68292	0.23302	-5.9813e-003	0.	-1.8532e+005
0.68441	0.23153	-6.0524e-003	0.	-1.9771e+005
0.68591	0.23004	-6.1235e-003	0.	-2.1019e+005
0.6874	0.22854	-6.1946e-003	0.	-2.2276e+005
0.6889	0.22705	-6.2657e-003	0.	-2.3542e+005
0.6904	0.22556	-6.3367e-003	0.	-2.4817e+005
0.69189	0.22406	-6.4076e-003	0.	-2.6101e+005
0.69339	0.22257	-6.4785e-003	0.	-2.7395e+005
0.69488	0.22108	-6.5493e-003	0.	-2.8698e+005
0.69638	0.21958	-6.6199e-003	0.	-3.0009e+005
0.69787	0.21809	-6.6905e-003	0.	-3.133e+005
0.69937	0.21659	-6.7609e-003	0.	-3.266e+005
0.70086	0.2151	-6.8312e-003	0.	-3.3999e+005
0.70236	0.21361	-6.9014e-003	0.	-3.5347e+005
0.70385	0.21211	-6.9714e-003	0.	-3.6704e+005
0.70535	0.21062	-7.0412e-003	0.	-3.807e+005
0.70684	0.20913	-7.1108e-003	0.	-3.9445e+005
0.70834	0.20763	-7.1803e-003	0.	-4.0828e+005
0.70983	0.20614	-7.2495e-003	0.	-4.2221e+005
0.71133	0.20464	-7.3186e-003	0.	-4.3622e+005
0.71283	0.20315	-7.3874e-003	0.	-4.5036e+005
0.71432	0.20166	-7.456e-003	0.	-4.6444e+005
0.71582	0.20016	-7.5243e-003	0.	2.4873e+005
